status,trade_id,symbol,direction,strategy,confidence,entry_time,entry_price,exit_time,exit_price,tp_set,sl_set,pnl_gbp,pnl_pips,duration_minutes,position_size,session,day_of_week,hour_of_day,exit_reason,market_regime,volatility_at_entry,spread_pips,atr_pips,order_flow_bias,multi_tf_alignment,max_favorable_excursion_pips,max_adverse_excursion_pips,market_conditions_json,indicators_json
TRADED,99200,AUD_USD,buy,unknown_restart,0.0,2026-03-03T01:30:53.403683072Z,0.71144,2026-03-03T08:45:08.970475519Z,0.70554,0.0,0.0,-123.4713,-59.00000000000016,434,27713.0,,Tuesday,1,stop_loss,,,,,,,,,{},{}
TRADED,99218,EUR_USD,sell,unknown_restart,0.0,2026-03-03T07:47:09.382450164Z,1.16546,2026-03-03T09:23:58.770117266Z,1.16137,0.0,0.0,86.4879,40.89999999999927,96,28253.0,,Tuesday,7,take_profit,,,,,,,,,{},{}
TRADED,99173,NZD_USD,sell,momentum_pullback,0.95,2026-03-02T15:53:35.542930,0.59245,2026-03-03T10:19:01.275394333Z,0.58836,0.58837,0.59837,104.0135,40.90000000000038,1105,33985,london_ny_overlap,Monday,15,take_profit,,,,,,,,,{},{}
TRADED,99230,AUD_USD,sell,unknown_restart,0.0,2026-03-03T09:03:12.829763738Z,0.70572,2026-03-03T10:38:29.116273423Z,0.70164,0.0,0.0,95.6991,40.79999999999973,95,31331.0,,Tuesday,9,take_profit,,,,,,,,,{},{}
TRADED,99224,GBP_USD,sell,unknown_restart,0.0,2026-03-03T08:14:27.062944348Z,1.33162,2026-03-03T11:14:37.287629625Z,1.3275,0.0,0.0,104.2854,41.20000000000124,180,33769.0,,Tuesday,8,take_profit,,,,,,,,,{},{}
TRADED,99236,EUR_USD,sell,unknown_restart,0.0,2026-03-03T09:24:20.279919113Z,1.1612,2026-03-03T14:26:01.225979837Z,1.15711,0.0,0.0,96.0063,40.89999999999927,301,31375.0,,Tuesday,9,take_profit,,,,,,,,,{},{}
TRADED,99252,AUD_USD,sell,unknown_restart,0.0,2026-03-03T10:47:30.358834668Z,0.7032,2026-03-03T14:41:51.802642659Z,0.69908,0.0,0.0,101.5351,41.200000000000124,234,32936.0,,Tuesday,10,take_profit,,,,,,,,,{},{}
TRADED,99270,AUD_USD,sell,momentum_pullback,0.95,2026-03-03T14:43:01.730139,0.69888,2026-03-03T15:13:50.666366967Z,0.69476,0.69479,0.70479,106.8172,41.199999999999015,30,34584,london_ny_overlap,Tuesday,14,take_profit,,,,,,,,,{},{}
TRADED,99246,NZD_USD,sell,trend_following,0.9,2026-03-03T10:21:10.701973,0.5883,2026-03-03T15:13:53.692882383Z,0.5842,0.5842149999999999,0.5942149999999999,97.1779,40.99999999999993,292,31613,london,Tuesday,10,take_profit,,,,,,,,,{},{}
TRADED,99181,USD_CAD,buy,unknown_restart,0.0,2026-03-02T16:41:35.822871050Z,1.37053,2026-03-03T15:13:53.812835396Z,1.37463,0.0,0.0,99.3118,40.99999999999993,1352,44409.0,,Monday,16,take_profit,,,,,,,,,{},{}
TRADED,99264,EUR_USD,sell,unknown_restart,0.0,2026-03-03T14:31:14.763713247Z,1.15807,2026-03-03T15:18:05.980243679Z,1.15398,0.0,0.0,103.1941,40.89999999999927,46,33628.0,,Tuesday,14,take_profit,,,,,,,,,{},{}
TRADED,99280,AUD_USD,sell,volatility_breakout,0.8999999999999999,2026-03-03T15:16:50.230243,0.69456,2026-03-03T16:05:28.244235386Z,0.70056,0.69056,0.70056,-156.9287,-60.00000000000006,48,34640,london_ny_overlap,Tuesday,15,stop_loss,,,,,,,,,{},{}
